"","subj","experiment.x","age.at.study","age.at.survey","prop.lower","prop.higher","avg.lower","avg.higher","crawls","cruises","fearheights","handtohand","hiddensearch","pincer","points","pullstand","reaches","rolls","sits","stands","strangerdanger","walks","waves","exp","agegroup","looking.to.unexp","LTdiff"
"65","65",NA,NA,10,NA,NA,NA,NA,7,NA,10,6,9,8,10,7.5,3,5,6,8,9,NA,9,NA,NA,NA,NA
"66","66",NA,NA,10.4,NA,NA,NA,NA,7,9,NA,NA,NA,7.27,NA,7.25,NA,NA,5,NA,8,NA,NA,NA,NA,NA,NA
"67","67","RISK10",10.3667,17.5157303370787,0.59423747,0.40576253,16.19,11.06,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","10",0.59423747,5.13
"68","68","RISK10",10.3667,17.5157303370787,0.41355904,0.58644096,24.68,34.99,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","10",0.41355904,-10.31
"69","69","RISK10",10.2667,22.1,0.62819482,0.37180518,19.54,11.57,9,10,11.0344827586207,6.89676470588235,9.25785714285714,8.5,9.95285714285714,9.5,4.27025641025641,4.47481927710843,6,10.6788059701493,12,14,9.61527777777778,"RISK","10",0.62819482,7.97
"70","70","RISK10",10.3667,22.5,0.62828536,0.37171464,10.04,5.94,8,12,12,9,12,9,12,8,7,6,7,13,6,12,16,"RISK","10",0.62828536,4.1
"71","71","RISK10",10.1,17.5157303370787,0.4620834,0.5379166,14.35,16.71,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","10",0.4620834,-2.36
"72","72","RISK10",10.5333,22.3,0.48476229,0.51523771,11.93,12.68,6.5,8,8,7.5,8,7,7.5,6.2,4.5,4.07,5,4.43,9,10.3,10,"RISK","10",0.48476229,-0.75
"73","73","RISK10",10.0667,21.2,0.56094151,0.43905849,24.07,18.84,8,10.5,11.0344827586207,6,12,6,12,10,4.5,4,5.5,12,8.89421052631579,13.5,12,"RISK","10",0.56094151,5.23
"74","74","RISK10",9.7667,20.9,0.67677913,0.32322087,23.87,11.4,6,11,15,7,11,10,11,6.5,3,4,4,12,10,12.75,11,"RISK","10",0.67677913,12.47
"75","75","RISK10",10.2667,17.5157303370787,0.76205336,0.23794664,24.42,7.63,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","10",0.76205336,16.79
